"lsoa","output"
"E00025926",7112.7
"E00025927",7511.4
"E00025928",6044.9
"E00025929",7764.5
"E00025930",6803.9
"E00025931",4975.7
"E00025932",8521.6
"E00025933",7128.7
"E00025934",8878.0
"E00025935",9242.4
"E00025936",6854.4
"E00025937",8541.7
"E00025938",2628.2
"E00025939",6718.8
"E00025940",7733.3
"E00025941",9361.7
"E00025942",8777.5
"E00025943",6843.1
"E00025944",7139.0
"E00025945",6449.0
"E00025948",4459.6
"E00025949",7363.4
"E00025951",6714.3
"E00025953",2080.5
"E00025954",3717.0
"E00025955",8230.6
"E00025957",2056.8
"E00025958",5200.0
"E00025959",7763.6
"E00025961",5649.0
"E00025962",8137.8
"E00025964",8780.5
"E00025968",10164.6
"E00025969",2932.7
"E00025970",7709.5
"E00025976",9808.7
"E00025988",61153.8
"E00025989",86842.1
"E00025994",2127.3
"E00025995",8763.7
"E00025996",1893.3
"E00025997",11562.5
"E00025998",3969.2
"E00026000",8289.2
"E00026001",7449.0
"E00026002",7025.6
"E00026003",7673.9
"E00026004",3606.6
"E00026005",6327.8
"E00026006",2257.3
"E00026007",6339.5
"E00026008",8799.0
"E00026009",3902.9
"E00026010",6676.4
"E00026011",2745.3
"E00026012",5555.6
"E00026014",6514.0
"E00026015",5446.4
"E00026017",3711.2
"E00026018",7469.6
"E00026019",633.8
"E00026020",8064.5
"E00026022",2554.0
"E00026023",2216.7
"E00026024",5118.8
"E00026025",8500.0
"E00026026",10192.9
"E00026027",1779.5
"E00026028",2271.2
"E00026030",7566.6
"E00026031",7343.1
"E00026032",5268.8
"E00026033",3770.8
"E00026034",2653.6
"E00026035",6130.7
"E00026036",11341.0
"E00026038",12580.0
"E00026039",4965.2
"E00026040",11206.9
"E00026041",7391.3
"E00026042",11240.2
"E00026043",9311.5
"E00026045",9140.4
"E00026046",15580.1
"E00026047",8338.9
"E00026048",4393.8
"E00026049",10669.1
"E00026053",3600.0
"E00026054",8870.4
"E00026055",1038.7
"E00026056",18585.5
"E00026058",28792.3
"E00026059",6136.4
"E00026060",3480.8
"E00026065",10296.6
"E00026066",26949.2
"E00026067",10442.7
"E00026068",3619.1
"E00026070",18969.5
"E00026071",8891.4
"E00026072",14469.1
"E00026073",13611.1
"E00026075",7400.0
"E00026076",6547.1
"E00026077",6234.0
"E00026078",9370.9
"E00026079",7734.4
"E00026080",1208.0
"E00026081",10291.7
"E00026082",10039.4
"E00026083",8517.1
"E00026084",10708.7
"E00026085",12251.7
"E00026086",3443.1
"E00026087",1979.0
"E00026088",2450.8
"E00026089",8825.2
"E00026090",9148.9
"E00026091",790.0
"E00026092",10221.0
"E00026093",1224.3
"E00026094",6173.4
"E00026095",6192.5
"E00026096",7325.6
"E00026097",8283.6
"E00026098",7755.6
"E00026099",3658.9
"E00026100",7255.9
"E00026101",8610.2
"E00026102",5099.7
"E00026103",9925.1
"E00026104",3684.2
"E00026105",11788.6
"E00026106",10330.6
"E00026107",8730.7
"E00026108",7612.6
"E00026109",15110.1
"E00026110",6862.1
"E00026111",7190.6
"E00026112",8159.1
"E00026113",4831.8
"E00026114",11971.3
"E00026115",9303.8
"E00026116",9909.1
"E00026117",8458.5
"E00026118",9806.9
"E00026119",9683.8
"E00026120",7374.7
"E00026121",9941.7
"E00026122",7440.5
"E00026123",9292.6
"E00026124",9413.7
"E00026125",6709.8
"E00026126",6479.2
"E00026127",7246.0
"E00026128",11148.3
"E00026129",5672.3
"E00026130",16395.9
"E00026131",13056.6
"E00026132",7899.3
"E00026133",8509.5
"E00026134",7165.9
"E00026136",145.3
"E00026137",4677.1
"E00026138",4651.2
"E00026139",8050.8
